,CelebName,CelebImageURL,Description,CelebImage
46, Huma Qureshi,"https://m.media-amazon.com/images/M/MV5BMTEwMTkyMDY3OTheQTJeQWpwZ15BbWU4MDE1MjEyMzkx._V1_UX140_CR0,0,140,209_AL_.jpg","Huma Qureshi born and raised in Delhi. Her father is a famous restaurant owner called Saleem's a chain of some 10 restaurants in Delhi. Her brother, Saqib Saleem is an actor and acted in Mujhse Fraaandship Karoge. In year 2011 an announcement was made that Huma would make her Bollywood debut in a ...                ","[[[193 182 168]
  [193 182 168]
  [193 182 168]
  ...
  [193 182 174]
  [193 182 174]
  [193 182 174]]

 [[193 182 168]
  [193 182 168]
  [193 182 168]
  ...
  [193 182 174]
  [193 182 174]
  [193 182 174]]

 [[193 182 168]
  [193 182 168]
  [193 182 168]
  ...
  [193 182 174]
  [193 182 174]
  [193 182 174]]

 ...

 [[ 31  26  28]
  [ 31  26  28]
  [ 33  28  30]
  ...
  [ 94 111 120]
  [106 123 136]
  [116 135 150]]

 [[ 31  26  28]
  [ 32  27  29]
  [ 33  28  30]
  ...
  [127 152 162]
  [131 156 166]
  [135 160 170]]

 [[ 30  27  29]
  [ 31  28  30]
  [ 32  29  31]
  ...
  [124 166 179]
  [110 147 151]
  [106 140 139]]]"
47, Inaamulhaq,"https://m.media-amazon.com/images/M/MV5BNTlkNmU1N2YtZGI2OC00YjkwLWIxM2MtNTZkMmJkYTQ4YWE1XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY209_CR10,0,140,209_AL_.jpg","An alumnus of National School of Drama, Inaamulhaq was born on Nov 14, 1979 in Saharanpur-Uttar Pradesh. He first appeared on stage at the age of twelve. Later, he joined the 'Indian People's Theatre Association' and acted in numerous plays as a lead.In Mumbai he started his career as a writer for ...                ","[[[199 220 235]
  [199 220 235]
  [200 221 236]
  ...
  [  0   6   6]
  [  6  11  10]
  [  9  14  12]]

 [[199 220 235]
  [199 220 235]
  [199 220 235]
  ...
  [  0   6   6]
  [  6  11  10]
  [  9  14  12]]

 [[198 219 234]
  [198 219 234]
  [198 219 234]
  ...
  [  0   6   6]
  [  6  11  10]
  [  9  14  12]]

 ...

 [[122 143 164]
  [127 147 165]
  [133 151 168]
  ...
  [ 14  21  14]
  [ 13  21  11]
  [ 16  25  15]]

 [[154 171 184]
  [157 173 186]
  [163 177 189]
  ...
  [ 14  20  15]
  [ 13  20  13]
  [ 17  25  15]]

 [[179 191 203]
  [183 195 207]
  [187 199 209]
  ...
  [  7  20  18]
  [ 13  20  15]
  [ 15  22  15]]]"
48, Irrfan Khan,"https://m.media-amazon.com/images/M/MV5BNDg3NDgxNzY4NF5BMl5BanBnXkFtZTcwODMxODQzMg@@._V1_UY209_CR8,0,140,209_AL_.jpg","Born Sahabzade Irfan Ali Khan, in Jaipur, Rajasthan (NW India) January 7, 1967 to a Pashto speaking Muslim family. Khan's mother, Begum Khan, was from the Tonk Hakim family and his father, Jagirdar Khan, from the Khajuriya village near the Tonk district, ran a tire business.The Khan family name ...                ","[[[210 204 209]
  [210 204 209]
  [210 204 209]
  ...
  [157 153 158]
  [157 153 158]
  [157 153 158]]

 [[210 204 209]
  [210 204 209]
  [210 204 209]
  ...
  [157 153 158]
  [157 153 158]
  [157 153 158]]

 [[210 204 209]
  [210 204 209]
  [210 204 209]
  ...
  [157 153 158]
  [157 153 158]
  [157 153 158]]

 ...

 [[ 34  37  35]
  [ 34  37  35]
  [ 34  37  35]
  ...
  [158 157 161]
  [158 157 161]
  [158 157 161]]

 [[ 34  37  35]
  [ 34  37  35]
  [ 34  37  35]
  ...
  [158 157 161]
  [158 157 161]
  [158 157 161]]

 [[ 34  37  35]
  [ 34  37  35]
  [ 34  37  35]
  ...
  [159 156 158]
  [159 156 158]
  [159 156 158]]]"
49, Jackie Shroff,"https://m.media-amazon.com/images/M/MV5BYzczOGViODMtMWY1Yi00ZTAwLTkzZjItYzlmMzU0NmM5YjBmXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY209_CR16,0,140,209_AL_.jpg","Jaikishen was born in the Gujarati-speaking Shroff family on February 1, 1957. His dad's name is Kakubhai, his brother's is Hemant, and they live in Bandra, Bombay in a bungalow named 'Le Pepeyon"".A vegetarian, Jaikishen made his Bollywood debut in a bit-role as a villain in the hit Heera Panna (...                ","[[[14 16 10]
  [ 3  5  0]
  [ 0  1  0]
  ...
  [41 36 37]
  [25 11 15]
  [12  0  1]]

 [[ 2  1  0]
  [ 9 10  6]
  [14 12 11]
  ...
  [40 36 35]
  [25 14 16]
  [12  0  1]]

 [[10  6  5]
  [10  8  7]
  [ 5  0  1]
  ...
  [37 39 33]
  [25 20 19]
  [13  3  3]]

 ...

 [[37 30 33]
  [36 29 32]
  [34 27 30]
  ...
  [14 13 15]
  [ 9 12 17]
  [ 8 10 18]]

 [[35 28 31]
  [31 24 27]
  [25 18 21]
  ...
  [20 17 19]
  [14 14 20]
  [11 13 21]]

 [[37 32 34]
  [30 25 27]
  [22 17 19]
  ...
  [21 13 14]
  [18 12 17]
  [16 12 17]]]"
50, Jimmy Sheirgill,"https://m.media-amazon.com/images/M/MV5BMjM2MTc1NTk5OF5BMl5BanBnXkFtZTgwOTI4NDczMDE@._V1_UY209_CR86,0,140,209_AL_.jpg","Shergill was born in a Sikh family in Gorakhpur, Uttar Pradesh. He moved to Punjab, the place of his ancestors, in 1985 where he studied in Yadavindra Public School, Patiala and Bikram College Patiala. He learnt acting from Sri Harpal Singh, and then moved to Mumbai to work in the entertainment ...                ","[[[ 29  45  62]
  [  9  27  44]
  [ 24  44  61]
  ...
  [ 19  44  54]
  [ 23  49  56]
  [ 36  65  70]]

 [[ 15  31  48]
  [ 30  48  65]
  [ 33  53  70]
  ...
  [  9  31  42]
  [ 25  48  56]
  [ 61  87  93]]

 [[ 20  38  55]
  [ 56  76  93]
  [ 70  93 109]
  ...
  [  4  22  33]
  [ 94 113 121]
  [187 206 213]]

 ...

 [[134 109  83]
  [118 103  87]
  [ 69  71  81]
  ...
  [  0  11  15]
  [  0   3   8]
  [  1   6   9]]

 [[139 116  94]
  [109  97  87]
  [ 93  99 112]
  ...
  [  0  10  17]
  [  0   5  10]
  [  2   8  13]]

 [[127 111  98]
  [106 101  98]
  [ 68  83 102]
  ...
  [  2   4  14]
  [  2   4  14]
  [  2   4  14]]]"
51, Jeetendra,"https://m.media-amazon.com/images/M/MV5BYThkMTY3NDktMDBiNy00NWFhLWIyOWEtNGRkNDRiMGJjMjZiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR5,0,140,209_AL_.jpg","Ravi Kapoor was born in a business family that dealt with imitation Jewelery and used to live in a chawl. While supplying jewelry to V. Shantaram, he was cast as Sandhya's double in the 1959 movie 'Navrang'.His first break as a Bollywood leading man came in 'Geet Gaya Patharon Ne'. Although Ravi ...                ","[[[ 29  62 118]
  [ 29  62 118]
  [ 29  62 118]
  ...
  [ 19  21  29]
  [ 20  22  30]
  [ 21  23  31]]

 [[ 31  64 120]
  [ 31  64 120]
  [ 31  64 120]
  ...
  [ 24  26  34]
  [ 23  25  33]
  [ 22  24  32]]

 [[ 34  64 123]
  [ 34  64 123]
  [ 34  64 123]
  ...
  [ 24  26  34]
  [ 23  25  33]
  [ 21  23  31]]

 ...

 [[118 110 110]
  [118 110 110]
  [122 114 114]
  ...
  [ 99  92  89]
  [113 106 103]
  [129 122 119]]

 [[125 116 113]
  [120 113 110]
  [122 115 112]
  ...
  [ 97  90  87]
  [110 103 100]
  [127 120 117]]

 [[131 120 116]
  [121 112 108]
  [115 106 102]
  ...
  [105 100  99]
  [ 97  92  91]
  [120 115 114]]]"
52, Jaspal Bhatti,"https://m.media-amazon.com/images/M/MV5BZGQzZDgxNGMtZTdjYy00NzI3LThlOGItNjdmOTc5ZjQwYjcwXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_UY209_CR12,0,140,209_AL_.jpg","Jaspal Bhatti, the most popular social satirist in India, graduated from Punjab Engineering College, Chandigarh in North India, as an electrical engineer. He was famous for his street plays like his My Nonsense Club during his college days. Most of these plays were spoof ridiculing the corruption ...                ","[[[249 214  97]
  [249 214  97]
  [248 215  98]
  ...
  [245 215 102]
  [247 216 101]
  [247 216 101]]

 [[249 214  97]
  [250 215  98]
  [248 215  98]
  ...
  [245 215 102]
  [247 216 101]
  [247 216 101]]

 [[248 214 100]
  [248 214 100]
  [249 215 101]
  ...
  [246 216 103]
  [248 217 102]
  [248 217 102]]

 ...

 [[ 97  74  88]
  [ 97  74  88]
  [ 94  74  87]
  ...
  [ 18  34  81]
  [ 35  51 104]
  [ 45  62 118]]

 [[ 95  72  86]
  [ 94  74  87]
  [ 94  74  87]
  ...
  [ 28  43  99]
  [ 38  56 115]
  [ 42  60 121]]

 [[ 91  71  83]
  [ 96  76  88]
  [ 94  74  86]
  ...
  [ 29  44 106]
  [ 23  39 105]
  [ 19  36 103]]]"
53, Johnny Lever,"https://m.media-amazon.com/images/M/MV5BMjMyMTQzMjk1MV5BMl5BanBnXkFtZTgwMDg5MTMzOTE@._V1_UX140_CR0,0,140,209_AL_.jpg","Johnny Lever, born in Andhra Pradesh and was brought up in Mumbai's King's Circle area (Dharavi). His mother tongue is Telugu. Johnny studied in Andhra Telugu School till the seventh grade but couldn't study further because of financial problems in his family, after which he decided to leave school...                ","[[[ 64  23 128]
  [ 62  21 126]
  [ 64  21 126]
  ...
  [  0   1  89]
  [  0   0  94]
  [  0   0  97]]

 [[ 64  23 128]
  [ 61  20 125]
  [ 63  20 125]
  ...
  [  0   1  89]
  [  0   0  94]
  [  0   0  96]]

 [[ 62  21 126]
  [ 60  19 124]
  [ 63  20 125]
  ...
  [  0   1  89]
  [  0   0  93]
  [  0   0  94]]

 ...

 [[145 146 144]
  [153 154 152]
  [167 168 166]
  ...
  [ 84  79  78]
  [ 61  56  55]
  [ 74  69  68]]

 [[164 165 163]
  [163 164 162]
  [165 166 164]
  ...
  [114 109 108]
  [ 72  67  66]
  [ 36  31  30]]

 [[180 178 178]
  [165 163 163]
  [166 164 163]
  ...
  [100  92  92]
  [106  98  98]
  [ 41  33  33]]]"
54, Jaswinder Bhalla,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/medium/name-2135195744._CB466677935_.png,"Jaswinder Bhalla is an actor and writer, known for Carry on Jatta (2012), Rangeelay (2013) and Jatt Boys Putt Jattan De (2013).                ","[[[181 181 181]
  [181 181 181]
  [181 181 181]
  ...
  [181 181 181]
  [181 181 181]
  [181 181 181]]

 [[181 181 181]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [181 181 181]]

 [[181 181 181]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [181 181 181]]

 ...

 [[159 159 159]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [159 159 159]]

 [[159 159 159]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [159 159 159]]

 [[159 159 159]
  [159 159 159]
  [159 159 159]
  ...
  [159 159 159]
  [159 159 159]
  [159 159 159]]]"
55, Kamal Haasan,"https://m.media-amazon.com/images/M/MV5BYmUxNTY0MWItODQ2My00YWMyLWFmODgtNTY1MTQ2ZjEwYzdlXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY209_CR13,0,140,209_AL_.jpg","Kamal Haasan was born November 7, 1954 in Paramakudi, Tamil Nadu. He debuted as a child artiste in the film ""Kalathoor Kannamma"" (1960), which was released in the year 1960. Since then, he has starred in nearly 200 films in the major Indian languages - Tamil, Telugu, Kannada, Malayalam and Hindi. ...                ","[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 ...

 [[237 243 250]
  [230 236 243]
  [226 232 239]
  ...
  [174 183 192]
  [174 183 192]
  [174 183 192]]

 [[237 243 250]
  [230 236 243]
  [227 233 240]
  ...
  [175 184 193]
  [175 184 193]
  [175 184 193]]

 [[239 242 250]
  [234 237 245]
  [230 233 241]
  ...
  [177 186 195]
  [177 186 195]
  [177 186 195]]]"
56, Kangana Ranaut,"https://m.media-amazon.com/images/M/MV5BMTA2NTg0ODA1ODJeQTJeQWpwZ15BbWU4MDM0NDkxNTMy._V1_UY209_CR4,0,140,209_AL_.jpg","Kangana was born on 20 March 1987 in Bhambla, near Manali, which is in the Mandi district of Himachal Pradesh. Her dad's name is Amardeep, who is a businessman and contractor, her mom, Asha, is a school-teacher. She has two sisters, eldest one is Rangoli, and she has a brother, Akshit, who is about...                ","[[[ 45  45  45]
  [ 45  45  45]
  [ 46  46  46]
  ...
  [ 33  32  34]
  [ 34  33  35]
  [ 34  33  35]]

 [[ 46  46  46]
  [ 45  45  45]
  [ 46  46  46]
  ...
  [ 36  35  37]
  [ 36  35  37]
  [ 37  36  38]]

 [[ 46  46  46]
  [ 46  46  46]
  [ 46  46  46]
  ...
  [ 38  37  39]
  [ 38  37  39]
  [ 39  38  40]]

 ...

 [[ 81 144 212]
  [ 84 135 197]
  [ 89 115 169]
  ...
  [ 73 115 190]
  [ 66 105 183]
  [ 60  99 177]]

 [[ 83 142 212]
  [ 85 133 197]
  [ 84 111 162]
  ...
  [ 74 114 189]
  [ 66 104 182]
  [ 60  98 176]]

 [[ 86 138 208]
  [ 80 128 192]
  [ 80 114 173]
  ...
  [ 71 107 185]
  [ 65  98 177]
  [ 59  92 171]]]"
57, Konkona Sen Sharma,"https://m.media-amazon.com/images/M/MV5BMTU1NjUxNDYwNV5BMl5BanBnXkFtZTgwOTU3MDM0OTE@._V1_UY209_CR3,0,140,209_AL_.jpg","Konkona Sen Sharma is an awarding winning actress and the daughter of the celebrated actress and director Aparna Sen. Konkona is regarded as one of the most respected actresses in Bollywood with her memorable performances right from Mr. and Mrs. Iyer (2002) to Page 3 (2005), from Omkara (2006) to ...                ","[[[164 181 154]
  [165 182 155]
  [165 182 155]
  ...
  [170 192 164]
  [170 192 164]
  [170 192 164]]

 [[169 186 159]
  [169 186 159]
  [170 187 160]
  ...
  [175 197 169]
  [175 197 169]
  [175 197 169]]

 [[175 193 164]
  [176 194 165]
  [177 195 166]
  ...
  [183 205 177]
  [183 205 177]
  [183 205 177]]

 ...

 [[ 92 123 162]
  [ 95 126 165]
  [100 127 171]
  ...
  [ 49   0  55]
  [ 49   0  60]
  [ 49   0  62]]

 [[ 94 122 163]
  [ 97 125 166]
  [100 127 171]
  ...
  [ 84  35  87]
  [ 66  17  73]
  [ 50   0  59]]

 [[ 99 124 168]
  [100 125 169]
  [100 124 170]
  ...
  [ 82  36  82]
  [107  50 111]
  [105  44 112]]]"
58, Kader Khan,"https://m.media-amazon.com/images/M/MV5BNWYzY2QzNzUtYmVlYy00MmZjLTgxYjEtNjQyOWI5MzZkMDk4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR8,0,140,209_AL_.jpg","Kader Khan was born on December 11, 1937 in Pishin, Balochistan, British India. He was an actor and writer, known for Taqdeerwala (1995), Naseeb (1981) and Angaar (1992). He was married to Azra Khan. He died on December 31, 2018 in Mississauga, Ontario, Canada.                ","[[[108 106  76]
  [123 122  94]
  [140 138 114]
  ...
  [107  98 161]
  [ 75  58 161]
  [ 52  33 154]]

 [[121 116  95]
  [136 132 113]
  [152 149 134]
  ...
  [124 114 180]
  [ 82  68 170]
  [ 53  35 158]]

 [[140 129 125]
  [156 147 144]
  [168 163 162]
  ...
  [138 130 195]
  [ 89  75 181]
  [ 53  37 162]]

 ...

 [[230 230 248]
  [219 220 234]
  [204 207 211]
  ...
  [255 254 255]
  [255 254 255]
  [226 225 229]]

 [[237 237 253]
  [209 209 221]
  [195 197 205]
  ...
  [255 254 255]
  [255 254 255]
  [244 243 247]]

 [[251 251 255]
  [197 197 209]
  [200 200 212]
  ...
  [250 249 251]
  [255 254 255]
  [255 254 255]]]"
59, Kay Kay Menon,"https://m.media-amazon.com/images/M/MV5BMTY4MjgwODk4MF5BMl5BanBnXkFtZTgwNzAxNzE0MjE@._V1_UY209_CR87,0,140,209_AL_.jpg","Kay Kay Menon was born on October 2, 1966 in Kerala, India as Krishna Kumar Menon. He is an actor, known for Haider (2014), Black Friday (2004) and Gulaal (2009). He is married to Nivedita Bhattacharya.                ","[[[117 122 237]
  [118 122 241]
  [122 123 251]
  ...
  [190 191 187]
  [207 208 204]
  [221 222 218]]

 [[120 125 240]
  [121 125 244]
  [128 129 255]
  ...
  [221 222 218]
  [237 238 234]
  [252 253 249]]

 [[120 125 240]
  [123 127 246]
  [129 130 255]
  ...
  [237 238 234]
  [251 252 248]
  [255 255 252]]

 ...

 [[208 229 255]
  [208 232 255]
  [180 210 239]
  ...
  [188 230 249]
  [188 230 249]
  [191 231 250]]

 [[163 190 217]
  [197 225 255]
  [177 211 240]
  ...
  [191 233 255]
  [190 231 254]
  [189 230 252]]

 [[172 209 237]
  [177 216 244]
  [181 221 250]
  ...
  [190 230 255]
  [190 230 255]
  [190 231 254]]]"
60, Kajol,"https://m.media-amazon.com/images/M/MV5BMjIwMjQ5MTQ4N15BMl5BanBnXkFtZTgwOTIyMDU0OTE@._V1_UY209_CR4,0,140,209_AL_.jpg","Kajol was born on August 5, 1974 in Bombay, Maharashtra, India as Kajol Mukherjee. She is an actress, known for Kuch Kuch Hota Hai (1998), My Name Is Khan (2010) and Fanaa (2006). She has been married to Ajay Devgn since February 24, 1999. They have two children.                ","[[[ 58  24  34]
  [ 57  25  36]
  [ 59  26  41]
  ...
  [ 17   4   2]
  [ 17   4   2]
  [ 17   4   2]]

 [[ 57  24  31]
  [ 56  25  34]
  [ 59  26  40]
  ...
  [ 17   4   2]
  [ 17   4   2]
  [ 17   4   2]]

 [[ 54  26  26]
  [ 55  26  29]
  [ 57  26  33]
  ...
  [ 17   4   2]
  [ 17   4   2]
  [ 17   4   2]]

 ...

 [[109 103  98]
  [139 135 130]
  [186 183 178]
  ...
  [163 179 168]
  [156 176 164]
  [231 253 241]]

 [[157 153 148]
  [ 95  91  86]
  [143 139 134]
  ...
  [158 172 161]
  [225 242 231]
  [187 207 195]]

 [[179 180 176]
  [134 133 129]
  [111 104 101]
  ...
  [215 228 220]
  [211 219 212]
  [152 160 153]]]"
61, Kulbhushan Kharbanda,"https://m.media-amazon.com/images/M/MV5BMTQ2ODU1NDM0MF5BMl5BanBnXkFtZTcwNjIzNTE3Mw@@._V1_UY209_CR72,0,140,209_AL_.jpg","Kulbhushan Kharbanda was born on October 21, 1944 in Hasan Abdal, Punjab, British India. He is an actor, known for Lagaan: Once Upon a Time in India (2001), Haider (2014) and Hera Pheri (2000).                ","[[[ 40 213 246]
  [ 40 213 246]
  [ 40 213 246]
  ...
  [ 40 213 246]
  [ 40 213 246]
  [ 40 213 246]]

 [[ 40 213 246]
  [ 40 213 246]
  [ 40 213 246]
  ...
  [ 40 213 246]
  [ 40 213 246]
  [ 40 213 246]]

 [[ 40 213 246]
  [ 40 213 246]
  [ 40 213 246]
  ...
  [ 40 213 246]
  [ 40 213 246]
  [ 40 213 246]]

 ...

 [[  8  20  26]
  [ 29  40  48]
  [ 38  47  60]
  ...
  [128 177 225]
  [183 216 249]
  [227 250 255]]

 [[  7  18  26]
  [ 27  38  46]
  [ 34  43  56]
  ...
  [113 169 218]
  [156 195 234]
  [207 240 255]]

 [[  5  15  25]
  [ 24  34  44]
  [ 34  43  56]
  ...
  [131 181 227]
  [136 184 226]
  [178 223 255]]]"
62, Kalki Koechlin,"https://m.media-amazon.com/images/M/MV5BNzI4NDQyMjU2MF5BMl5BanBnXkFtZTgwMzc4ODEzOTE@._V1_UX140_CR0,0,140,209_AL_.jpg",Kalki Koechlin was born to French parents in a small village in Pondicherry. Her parents had come to India as hippies in the 1970s and settled there after they fell in love with the country. Her parents are devotees of Sri Aurobindo.Kalki was studying in Ooty when her parents insisted that she ...                ,"[[[ 45  29  30]
  [ 45  29  30]
  [ 45  29  30]
  ...
  [ 52  34  35]
  [ 52  34  35]
  [ 52  34  35]]

 [[ 45  29  30]
  [ 45  29  30]
  [ 45  29  30]
  ...
  [ 53  35  36]
  [ 53  35  36]
  [ 53  35  36]]

 [[ 45  29  30]
  [ 45  29  30]
  [ 45  29  30]
  ...
  [ 53  35  36]
  [ 53  35  36]
  [ 53  35  36]]

 ...

 [[145 148 186]
  [158 160 194]
  [161 161 191]
  ...
  [149 147 176]
  [153 150 176]
  [148 145 171]]

 [[136 137 175]
  [150 151 185]
  [161 162 190]
  ...
  [148 147 173]
  [151 148 174]
  [147 144 170]]

 [[148 146 182]
  [150 149 181]
  [154 155 183]
  ...
  [147 150 171]
  [148 147 173]
  [143 142 168]]]"
63, Kapil Sharma,"https://m.media-amazon.com/images/M/MV5BMjE5NzI3NjE1Ml5BMl5BanBnXkFtZTgwNTMxMjMzOTE@._V1_UY209_CR87,0,140,209_AL_.jpg","Kapil Sharma is an Indian stand-up comedian, TV anchor and singer.He was selected among top 100 celebrities in 2013 Forbes India magazines and he was ranked 96th in that list. Currently he hosts The Kapil Sharma Show.[2] He also hosted television comedy shows like Comedy Nights with Kapil, The ...                ","[[[ 5  7  7]
  [ 5  7  7]
  [ 5  7  7]
  ...
  [ 3  5  5]
  [ 3  5  5]
  [ 3  5  5]]

 [[ 5  7  7]
  [ 5  7  7]
  [ 5  7  7]
  ...
  [ 3  5  5]
  [ 3  5  5]
  [ 3  5  5]]

 [[ 5  7  7]
  [ 5  7  7]
  [ 5  7  7]
  ...
  [ 3  5  5]
  [ 3  5  5]
  [ 3  5  5]]

 ...

 [[ 2  4  4]
  [ 2  4  4]
  [ 2  4  4]
  ...
  [44 36 36]
  [42 34 34]
  [43 35 35]]

 [[ 2  4  4]
  [ 2  4  4]
  [ 2  4  4]
  ...
  [32 27 26]
  [31 26 25]
  [33 28 27]]

 [[ 2  4  4]
  [ 2  4  4]
  [ 2  4  4]
  ...
  [34 29 30]
  [32 27 28]
  [29 24 25]]]"
64, Krishna Abhishek,"https://m.media-amazon.com/images/M/MV5BOWJmNDJkYjEtYmY5ZC00NmY5LTgyNTUtN2FjODQyZGZhNmIzL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR10,0,140,209_AL_.jpg","Krishna Abhishek is an actor and producer, known for Bol Bachchan (2012), Jahan Jaaeyega Hamen Paaeyega (2007) and Marrne Bhi Do Yaaron (2019).                ","[[[232 235 220]
  [232 235 220]
  [233 236 221]
  ...
  [244 244 230]
  [244 244 230]
  [244 244 230]]

 [[232 235 220]
  [232 235 220]
  [233 236 221]
  ...
  [244 244 230]
  [244 244 230]
  [244 244 230]]

 [[232 235 220]
  [232 235 220]
  [233 236 221]
  ...
  [245 245 231]
  [245 245 231]
  [245 245 231]]

 ...

 [[ 73  41  35]
  [ 73  41  35]
  [ 73  41  35]
  ...
  [ 74  42  37]
  [ 74  42  37]
  [ 74  42  37]]

 [[ 73  41  35]
  [ 73  41  35]
  [ 73  41  35]
  ...
  [ 74  42  37]
  [ 74  42  37]
  [ 74  42  37]]

 [[ 73  41  35]
  [ 73  41  35]
  [ 72  40  34]
  ...
  [ 73  40  37]
  [ 72  39  36]
  [ 72  39  36]]]"
65, Karuna Bannerjee,"https://m.media-amazon.com/images/M/MV5BMTg1MzAzMDg0OV5BMl5BanBnXkFtZTgwMjYzMTI1NTE@._V1_UY209_CR74,0,140,209_AL_.jpg","Karuna Bannerjee was born on December 25, 1919 in Calcutta, Bengal Presidency, British India. She was an actress, known for Aparajito (1956), Pather Panchali (1955) and Mahakavi Kalidas (1942). She died on November 13, 2001 in Kolkata, West Bengal, India.                ","[[[ 81  76  77]
  [102  97  98]
  [ 52  47  48]
  ...
  [ 33  31  31]
  [ 33  31  31]
  [ 33  31  31]]

 [[ 84  79  80]
  [101  96  97]
  [ 49  44  45]
  ...
  [ 33  31  31]
  [ 33  31  31]
  [ 33  31  31]]

 [[ 92  87  88]
  [103  98  99]
  [ 45  40  41]
  ...
  [ 33  31  31]
  [ 33  31  31]
  [ 33  31  31]]

 ...

 [[ 76  71  72]
  [ 73  68  69]
  [ 69  64  65]
  ...
  [206 201 203]
  [215 210 212]
  [216 211 213]]

 [[ 76  71  72]
  [ 74  69  70]
  [ 69  64  65]
  ...
  [208 203 205]
  [217 212 214]
  [218 213 215]]

 [[ 77  72  73]
  [ 72  67  68]
  [ 70  65  66]
  ...
  [222 217 219]
  [226 221 223]
  [223 218 220]]]"
66, Kanwaljit Singh,"https://m.media-amazon.com/images/M/MV5BZGRkNmZiYjItYTk5Yy00ODU1LThkNjAtYWQ4OGZjYTMxMDcwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR4,0,140,209_AL_.jpg","Kanwaljit Singh is an actor, known for 15 Park Avenue (2005), Bang Bang (2014) and Saans (1999). He is married to Anuradha Patel.                ","[[[185 141 242]
  [185 141 242]
  [186 142 243]
  ...
  [170 119 241]
  [169 118 240]
  [169 118 240]]

 [[186 142 243]
  [186 142 243]
  [187 143 244]
  ...
  [171 120 242]
  [170 119 241]
  [170 119 241]]

 [[187 143 244]
  [188 144 245]
  [189 145 246]
  ...
  [173 122 243]
  [172 121 242]
  [172 121 242]]

 ...

 [[  7  19  21]
  [  0  10  12]
  [  5  17  19]
  ...
  [ 16  28  32]
  [ 17  29  33]
  [ 17  29  33]]

 [[  6  18  20]
  [  3  15  17]
  [  2  14  16]
  ...
  [ 14  26  30]
  [ 15  27  31]
  [ 14  29  32]]

 [[  6  15  18]
  [ 11  20  23]
  [  1  10  13]
  ...
  [ 19  34  37]
  [ 15  29  35]
  [  7  23  29]]]"
67, Lara Dutta,"https://m.media-amazon.com/images/M/MV5BNDk2OTk5NjYwNl5BMl5BanBnXkFtZTcwMzMyMDQ4Mg@@._V1_UY209_CR88,0,140,209_AL_.jpg","It is not a secret that Lara Dutta is a beauty with brains. This was demonstrated when she scored the highest possible marks in the history of the Miss Universe Contest. After this she was crowned Miss Universe 2000, making history as not only the most beautiful but also the most intelligent young ...                ","[[[ 3 36 81]
  [ 2 35 80]
  [ 2 35 80]
  ...
  [ 1 30 75]
  [ 0 31 80]
  [ 0 31 79]]

 [[ 3 36 81]
  [ 3 36 81]
  [ 2 35 80]
  ...
  [ 0 29 76]
  [ 0 31 80]
  [ 0 31 79]]

 [[ 2 36 82]
  [ 2 36 82]
  [ 2 36 82]
  ...
  [ 0 29 76]
  [ 0 33 81]
  [ 0 33 81]]

 ...

 [[ 0  3 36]
  [21 36 69]
  [52 62 96]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 [[ 0  0 29]
  [ 2 17 49]
  [35 46 78]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 [[ 0  1 30]
  [ 0 12 41]
  [ 9 23 52]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]]"
